,rating,votes,awards
701,6.1,10074,1
702,6.8,833,0
703,7.0,943,0
704,7.2,2704,1
705,6.4,2517,0
706,5.8,438,0
707,6.2,65908,1
708,5.0,1105,1
709,8.0,24977,1
710,0.0,0,0
711,4.9,3403,1
712,8.6,1188658,1
713,6.5,613768,1
714,6.1,29,0
715,8.3,912250,1
716,7.5,681075,1
717,8.1,47308,1
718,5.9,53973,1
719,8.7,1109656,1
720,7.9,833706,1
721,7.0,532835,1
722,6.5,698744,1
723,0.0,0,0
724,6.2,2130,0
725,6.1,12305,1
726,7.6,6678,1
727,6.0,1317,0
728,6.2,7622,1
729,6.5,133,1
730,5.6,3395,0
731,7.1,12,0
732,4.2,1089,1
733,6.3,854,0
734,7.0,40,0
735,6.5,324,0
736,7.2,13189,0
737,7.6,12743,1
738,5.9,3246,0
739,7.7,390220,1
740,6.6,1861,1
741,7.6,1598,1
742,5.4,5264,1
743,5.8,1471,1
744,6.4,378,1
745,6.1,3331,1
746,5.9,8886,1
747,5.5,6775,0
748,4.7,3952,1
749,6.8,5542,1
750,6.5,16953,1
751,6.8,6856,1
752,0.0,0,0
753,6.6,603,0
754,6.2,7451,0
755,7.0,11917,0
756,8.2,166,0
757,7.3,286,1
758,6.5,4710,0
759,6.1,2270,0
760,7.1,89029,1
761,7.3,1061,0
762,8.3,12505,1
763,5.5,682,0
764,7.9,2714,1
765,6.2,253,0
766,6.4,73906,1
767,7.1,1381,0
768,5.7,281,0
769,6.4,29395,0
770,6.0,22422,1
771,7.6,8311,1
772,0.0,0,0
773,6.3,412,1
774,6.8,25,0
775,5.7,1333,1
776,5.9,421,0
777,6.1,4162,1
778,4.8,6690,1
779,5.0,5512,1
780,4.7,3779,1
781,6.5,345,0
782,6.5,187627,1
783,6.9,353342,1
784,7.4,3027,1
785,6.0,4208,0
786,4.1,4769,1
787,0.0,0,0
788,0.0,0,0
789,7.3,171721,1
790,6.2,6241,1
791,6.8,59000,1
792,8.2,24,0
793,7.3,81227,1
794,5.3,3961,1
795,6.1,56291,1
796,6.6,97,0
797,6.9,483,0
798,6.9,856,0
799,6.7,97413,1
800,7.2,42723,1
801,7.2,12993,1
802,7.4,26823,1
803,5.0,40276,1
804,7.1,756,0
805,6.9,135545,1
806,4.7,5645,1
807,9.1,1194,0
808,8.6,999,0
809,0.0,0,0
810,7.1,3702,0
811,8.0,633057,1
812,7.0,4848,1
813,7.6,159903,1
814,5.4,14354,1
815,4.2,625,0
816,6.0,78380,1
817,6.2,1084,0
818,6.9,189877,1
819,6.6,35523,1
820,6.5,58256,1
821,8.5,901362,1
822,7.6,227707,1
823,5.6,16648,1
824,6.3,8001,1
825,0.0,0,0
826,7.5,1139,1
827,5.5,34463,1
828,6.5,345,0
829,7.2,32,0
830,6.5,13617,1
831,8.7,157153,1
832,7.6,31065,1
833,5.9,1886,0
834,6.7,1843,0
835,7.7,45861,1
836,7.6,31198,1
837,7.1,84999,1
838,7.4,5614,1
839,7.6,3077,1
840,7.5,292,0
841,6.6,43976,1
842,7.9,3165,1
843,7.1,634,0
844,7.2,40,0
845,6.1,1741,1
846,7.1,18041,1
847,6.5,114898,1
848,6.7,659,1
849,8.1,14,0
850,4.7,466,0
851,6.2,33,0
852,7.1,2791,0
853,7.1,117082,1
854,8.1,377085,1
855,6.3,123037,1
856,5.8,70904,1
857,6.4,5951,1
858,5.4,1430,1
859,6.9,2403,0
860,5.8,2409,1
861,6.9,55743,1
862,6.9,36509,1
863,6.5,50945,1
864,6.9,31236,1
865,5.0,1746,0
866,6.5,91389,1
867,5.6,47866,1
868,4.7,31254,1
869,6.7,774,0
870,5.3,490,1
871,5.9,2468,0
872,6.5,4080,1
873,7.1,645,0
874,0.0,0,0
875,8.7,328282,1
876,7.8,1181,0
877,8.0,194154,1
878,6.7,1281,0
879,8.0,77452,1
880,6.1,2531,0
881,5.3,3051,0
882,6.5,30964,1
883,6.3,14716,1
884,6.1,1410,0
885,6.1,1522,1
886,7.2,85169,1
887,6.0,4525,1
888,6.5,11541,1
889,6.4,48683,1
890,6.3,16402,1
891,7.2,2028,0
892,6.7,3244,0
893,7.6,2421,0
894,5.9,1478,1
895,7.7,341,1
896,5.3,23206,1
897,7.1,1567,0
898,6.5,4934,1
899,5.5,645,0
900,7.9,1121,0
901,5.6,1008,1
902,6.8,423,0
903,0.0,0,0
904,7.2,867,0
905,7.5,4805,1
906,0.0,0,0
907,6.0,45155,1
908,5.4,21881,1
909,0.0,0,0
910,6.3,14576,1
911,6.2,1166,1
912,8.0,281155,1
913,6.1,1300,0
914,7.1,8549,1
915,6.5,9253,1
916,6.8,11194,0
917,6.9,7103,1
918,6.7,9233,1
919,7.2,273,0
920,7.0,532,0
921,8.1,24630,1
922,5.5,9519,1
923,8.3,846332,1
924,7.9,504561,1
925,8.3,729086,1
926,7.8,172068,1
927,7.3,7148,0
928,0.0,0,0
929,7.1,5326,0
930,6.4,139,0
931,7.1,359,0
932,6.9,6611,1
933,6.3,412,0
934,7.2,96646,1
935,0.0,0,0
936,6.8,110110,1
937,8.2,7409,1
938,6.8,306175,1
939,7.5,2866,1
940,6.6,20533,1
941,7.1,650,0
942,6.2,61665,1
943,7.4,31,0
944,5.5,719,1
945,5.7,6703,1
946,5.8,3961,0
947,5.3,917,0
948,0.0,0,0
949,7.7,72,0
950,8.2,895906,1
951,5.6,1736,1
952,5.5,20118,1
953,7.1,14,0
954,5.2,1892,1
955,7.6,2253,1
956,8.4,955757,1
957,0.0,0,0
958,6.9,111,1
959,5.4,5328,0
960,5.0,252,0
961,6.7,18897,1
962,7.7,175505,1
963,6.6,677,0
964,0.0,0,0
965,0.0,0,0
966,0.0,0,0
967,7.3,97309,1
968,0.0,0,0
969,6.5,10,0
970,7.2,20673,1
971,6.8,1781,1
972,6.5,1634,1
973,7.4,595,0
974,6.8,27826,1
975,6.2,14540,1
976,8.0,9497,0
977,0.0,0,0
978,7.7,365043,1
979,7.9,9763,1
980,0.0,0,0
981,7.5,324,0
982,6.9,177,1
983,4.7,526,0
984,6.1,1608,1
985,7.1,4944,1
986,6.3,2993,1
987,5.1,3750,1
988,6.4,6378,1
989,5.9,3318,1
990,5.5,2339,0
991,8.0,410437,1
